"species","PA_trophic","Stage","Working.Group","Consumer.Strategy","consumer_mobility","classcode"
"Actiniaria","3.988498227","Adult","anemone","Predator","predator_sessile","ANEM"
"Aglaophenia struthionides","3.905623064","Adult","hydroids","Omnivore","predator_sessile","AGLSTR"
"Alaria marginata","1","Adult","brown algae","Autotroph","autotroph_sessile","ALAMAR"
"Alloclinus holderi","4.08780836958457","Adult","Fish","Predator","predator_mobile","AHOL"
"Alopias vulpinus","6.818877272","Adult","shark","Predator","predator_mobile","AVUL"
"Amphistichus argenteus","3.970580906","Adult","Fish","Predator","predator_mobile","AARG"
"Anarrhichthys ocellatus","5.280807282","Adult","Fish","Predator","predator_mobile","AOCE"
"Anisotremus davidsonii","4.1682314103059","Adult","Fish","Predator","predator_mobile","ADAV"
"Anthopleura","3.990007679","Adult","anemone","Predator","predator_sessile","ANTSPP"
"Anthopleura artemisia","3.99000767855807","Adult","anemone","Predator","predator_sessile","ANTART"
"Anthopleura sola","4.04727370449261","Adult","anemone","Predator","predator_sessile","ANTSOL"
"Anthopleura xanthogrammica","4.20394051640248","Adult","anemone","Predator","predator_sessile","ANTXAN"
"Aplysia californica","2","Adult","grazing snails and slugs","Herbivore","micropredator_mobile","APLCAL"
"Aplysia vaccaria","2","Adult","slugs","Predator","micropredator_mobile","APLVAC"
"Apogon guadalupensis","4.083929136","Adult","Fish","Predator","predator_mobile","AGUA"
"Apostichopus","2.74375","Adult","cucumber","Detritivore","predator_mobile","APOSPP"
"Apostichopus californicus","2.74375","Adult","cucumber","Detritivore","predator_mobile","APOCAL"
"Apostichopus parvimensis","2.74375","Adult","cucumber","Detritivore","predator_mobile","APOPAR"
"Arbacia stellata","2.699742007","Adult","urchin","Herbivore","micropredator_mobile","ARBSTE"
"Artedius corallinus","4.487678033","Adult","Fish","Predator","predator_mobile","ACOR"
"Asteroidea","2.929404959","Adult","sea star","Omnivore","predator_mobile","ASTSPP"
"Astrometis sertulifera","2.929404959","Adult","sea star","Omnivore","predator_mobile","ASTSER"
"Astropecten armatus","2.929404959","Adult","sea star","Omnivore","predator_mobile","ASTARM"
"Atherinopsidae","4.055629686","Adult","Fish","Omnivore","predator_mobile","ATHE"
"Atractoscion nobilis","6.14020174832119","adult","fish","Predator","predator_mobile","ANOB"
"Aulorhynchus flavidus","4.55797010819431","Adult","Fish","Predator","predator_mobile","AFLA"
"Balanus nubilus","4.57420821","Adult","barnacle","Filter","predator_sessile","BALNUB"
"Brachyistius frenatus","3.84014821501615","Adult","Fish","Predator","predator_mobile","BFRE"
"Bryozoa","3.5","Adult","erect bryozoan","Filter","predator_sessile","BRYO"
"Calliostoma","4.790503282","Adult","microsnail","Predator","predator_mobile","CALSPP"
"Calliostoma annulatum","4.79050328223544","Adult","microsnail","Predator","predator_mobile","CALANN"
"Calliostoma ligatum","4.790503282","Adult","microsnail","Predator","predator_mobile","CALLIG"
"Cancridae","4.150423063","Adult","large crab","Predator","predator_mobile","CANSPP"
"Caulolatilus princeps","4.32867298054777","Adult","Fish","Predator","predator_mobile","CPRI"
"Centrostephanus coronatus","2.71780356307723","Adult","urchin","Omnivore","micropredator_mobile","CENCOR"
"Cephaloscyllium ventriosum","6.28579904100789","Adult","shark","Predator","predator_mobile","CVEN"
"Ceratostoma","4.291189036","Adult","whelks and cone snails","Predator","predator_mobile","CERSPP"
"Chaceia ovoidea","2.925","Adult","clams and mussels","Filter","predator_sessile","CHAOVO"
"Chaceia/Parapholas","2.925","Adult","clams and mussels","Filter","predator_sessile","CHAPAR"
"Cheilotrema saturnum","4.67981267387335","Adult","Fish","Predator","predator_mobile","CSAT"
"Chirolophis nugator","4.487678033","Adult","Fish","Predator","predator_mobile","CNUG"
"Chitonotus pugetensis","4.487678033","Adult","Fish","Predator","predator_mobile","CPUG"
"Chlorophyta","1","Adult","green algae","Autotroph","autotroph_sessile","GREEN"
"Chromis punctipinnis","4.47450195934471","Adult","Fish","planktivore","predator_mobile","CPUN"
"Cirripedia","4.57420821","Adult","barnacle","Filter","predator_sessile","BARNAC"
"Citharichthys","3.979224444","Adult","Fish","Predator","predator_mobile","CITH"
"Citharichthys sordidus","3.979224444","Adult","Fish","Predator","predator_mobile","CSOR"
"Citharichthys stigmaeus","4.14516822235801","Adult","Fish","Predator","predator_mobile","CSTI"
"Clam","2.925","Adult","clams and mussels","Filter","predator_sessile","CLAM"
"Clinidae","4.052175189","Adult","Fish","Herbivore","predator_mobile","CLIN"
"Clupeiformes","4.055629686","Adult","Fish","Omnivore","predator_mobile","CLUP"
"Conus californicus","4.88736407359947","Adult","whelks and cone snails","Predator","predator_mobile","CONCAL"
"Coralline Algae -Crustose","1","Adult","coralline algae","Autotroph","autotroph_sessile","CRUCOR"
"Coralline Algae -Erect/Articulated","1","Adult","coralline algae","Autotroph","autotroph_sessile","ERECOR"
"Corynactis californica","3.98849822742727","Adult","anemone","Predator","predator_sessile","CORCAL"
"Costaria costata","1","Adult","brown algae","Autotroph","autotroph_sessile","COSCOS"
"Cottidae","4.487678033","Adult","Fish","Predator","predator_mobile","COTT"
"Crassadoma gigantea","2.6171875","Adult","clams and mussels","Filter","predator_sessile","CRAGIG"
"Cribrinopsis albopunctata","4.288489387","Adult","anemone","Predator","predator_sessile","CRIALB"
"Cryptochiton stelleri","3.52640597","Adult","grazing snails and slugs","Herbivore","micropredator_mobile","CRYSTE"
"Cryptolithodes sitchensis","2.797749294","Adult","small crab","Herbivore","micropredator_mobile","CRYSIT"
"Cucumaria","2.822916667","Adult","cucumber","Filter","predator_sessile","CUCSPP"
"Cucumaria miniata","2.822916667","Adult","cucumber","Filter","predator_sessile","CUCMIN"
"Cucumaria piperata","2.822916667","Adult","cucumber","Filter","predator_sessile","CUCPIP"
"Cucumaria salma","2.82291666666667","Adult","cucumber","Filter","predator_sessile","CUCSAL"
"Cup Coral","3.988498227","Adult","anemone","Predator","predator_sessile","CUPCOR"
"Cymatogaster aggregata","4.1004027402112","Adult","Fish","Predator","predator_mobile","CAGG"
"Dermasterias imbricata","4.38105600104253","Adult","sea star","Predator","predator_mobile","DERIMB"
"Desmarestia","1","Adult","brown algae","Autotroph","autotroph_sessile","DESSPP"
"Diaperoforma californica","2.890625","Adult","erect bryozoan","Filter","predator_sessile","DIACAL"
"Diatom Layer","1","Adult","brown algae","Autotroph","autotroph_sessile","SCUM"
"Dictyoneurum californicum/reticulatum","1","Adult","brown algae","Autotroph","autotroph_sessile","DICSPP"
"Dictyotales","1","Adult","brown algae","Autotroph","autotroph_sessile","DICTYOTALES"
"Diopatra/Chaetopterus spp","3.925840503","Adult","Polychaeta- Errantia","Predator","predator_mobile","DIOCHA"
