"species","PA_trophic","Stage","Working.Group","Consumer.Strategy","consumer_mobility","classcode","trophic_level"
"Actiniaria",3.988498227,"Adult","anemone","Predator","predator_sessile","ANEM","secondary_consumer"
"Aglaophenia struthionides",3.905623064,"Adult","hydroids","Omnivore","predator_sessile","AGLSTR","secondary_consumer"
"Alaria marginata",1,"Adult","brown algae","Autotroph","autotroph_sessile","ALAMAR","producer"
"Alloclinus holderi",4.08780836958457,"Adult","Fish","Predator","predator_mobile","AHOL","secondary_consumer"
"Alopias vulpinus",6.818877272,"Adult","shark","Predator","predator_mobile","AVUL","quarternary_consumer"
"Amphistichus argenteus",3.970580906,"Adult","Fish","Predator","predator_mobile","AARG","secondary_consumer"
"Anarrhichthys ocellatus",5.280807282,"Adult","Fish","Predator","predator_mobile","AOCE","tertiary_consumer"
"Anisotremus davidsonii",4.1682314103059,"Adult","Fish","Predator","predator_mobile","ADAV","secondary_consumer"
"Anthopleura",3.990007679,"Adult","anemone","Predator","predator_sessile","ANTSPP","secondary_consumer"
"Anthopleura artemisia",3.99000767855807,"Adult","anemone","Predator","predator_sessile","ANTART","secondary_consumer"
"Anthopleura sola",4.04727370449261,"Adult","anemone","Predator","predator_sessile","ANTSOL","secondary_consumer"
"Anthopleura xanthogrammica",4.20394051640248,"Adult","anemone","Predator","predator_sessile","ANTXAN","secondary_consumer"
"Aplysia californica",2,"Adult","grazing snails and slugs","Herbivore","micropredator_mobile","APLCAL","primary_consumer"
"Aplysia vaccaria",2,"Adult","slugs","Predator","micropredator_mobile","APLVAC","primary_consumer"
"Apogon guadalupensis",4.083929136,"Adult","Fish","Predator","predator_mobile","AGUA","secondary_consumer"
"Apostichopus",2.74375,"Adult","cucumber","Detritivore","predator_mobile","APOSPP","primary_consumer"
"Apostichopus californicus",2.74375,"Adult","cucumber","Detritivore","predator_mobile","APOCAL","primary_consumer"
"Apostichopus parvimensis",2.74375,"Adult","cucumber","Detritivore","predator_mobile","APOPAR","primary_consumer"
"Arbacia stellata",2.699742007,"Adult","urchin","Herbivore","micropredator_mobile","ARBSTE","primary_consumer"
"Artedius corallinus",4.487678033,"Adult","Fish","Predator","predator_mobile","ACOR","tertiary_consumer"
"Asteroidea",2.929404959,"Adult","sea star","Omnivore","predator_mobile","ASTSPP","primary_consumer"
"Astrometis sertulifera",2.929404959,"Adult","sea star","Omnivore","predator_mobile","ASTSER","primary_consumer"
"Astropecten armatus",2.929404959,"Adult","sea star","Omnivore","predator_mobile","ASTARM","primary_consumer"
"Atherinopsidae",4.055629686,"Adult","Fish","Omnivore","predator_mobile","ATHE","secondary_consumer"
"Atractoscion nobilis",6.14020174832119,"adult","fish","Predator","predator_mobile","ANOB","quarternary_consumer"
"Aulorhynchus flavidus",4.55797010819431,"Adult","Fish","Predator","predator_mobile","AFLA","tertiary_consumer"
"Balanus nubilus",4.57420821,"Adult","barnacle","Filter","predator_sessile","BALNUB","tertiary_consumer"
"Brachyistius frenatus",3.84014821501615,"Adult","Fish","Predator","predator_mobile","BFRE","secondary_consumer"
"Bryozoa",3.5,"Adult","erect bryozoan","Filter","predator_sessile","BRYO","secondary_consumer"
"Calliostoma",4.790503282,"Adult","microsnail","Predator","predator_mobile","CALSPP","tertiary_consumer"
"Calliostoma annulatum",4.79050328223544,"Adult","microsnail","Predator","predator_mobile","CALANN","tertiary_consumer"
"Calliostoma ligatum",4.790503282,"Adult","microsnail","Predator","predator_mobile","CALLIG","tertiary_consumer"
"Cancridae",4.150423063,"Adult","large crab","Predator","predator_mobile","CANSPP","secondary_consumer"
"Caulolatilus princeps",4.32867298054777,"Adult","Fish","Predator","predator_mobile","CPRI","secondary_consumer"
"Centrostephanus coronatus",2.71780356307723,"Adult","urchin","Omnivore","micropredator_mobile","CENCOR","primary_consumer"
"Cephaloscyllium ventriosum",6.28579904100789,"Adult","shark","Predator","predator_mobile","CVEN","quarternary_consumer"
"Ceratostoma",4.291189036,"Adult","whelks and cone snails","Predator","predator_mobile","CERSPP","secondary_consumer"
"Chaceia ovoidea",2.925,"Adult","clams and mussels","Filter","predator_sessile","CHAOVO","primary_consumer"
"Chaceia/Parapholas",2.925,"Adult","clams and mussels","Filter","predator_sessile","CHAPAR","primary_consumer"
"Cheilotrema saturnum",4.67981267387335,"Adult","Fish","Predator","predator_mobile","CSAT","tertiary_consumer"
"Chirolophis nugator",4.487678033,"Adult","Fish","Predator","predator_mobile","CNUG","tertiary_consumer"
"Chitonotus pugetensis",4.487678033,"Adult","Fish","Predator","predator_mobile","CPUG","tertiary_consumer"
"Chlorophyta",1,"Adult","green algae","Autotroph","autotroph_sessile","GREEN","producer"
"Chromis punctipinnis",4.47450195934471,"Adult","Fish","planktivore","predator_mobile","CPUN","tertiary_consumer"
"Cirripedia",4.57420821,"Adult","barnacle","Filter","predator_sessile","BARNAC","tertiary_consumer"
"Citharichthys",3.979224444,"Adult","Fish","Predator","predator_mobile","CITH","secondary_consumer"
"Citharichthys sordidus",3.979224444,"Adult","Fish","Predator","predator_mobile","CSOR","secondary_consumer"
"Citharichthys stigmaeus",4.14516822235801,"Adult","Fish","Predator","predator_mobile","CSTI","secondary_consumer"
"Clam",2.925,"Adult","clams and mussels","Filter","predator_sessile","CLAM","primary_consumer"
"Clinidae",4.052175189,"Adult","Fish","Herbivore","predator_mobile","CLIN","secondary_consumer"
"Clupeiformes",4.055629686,"Adult","Fish","Omnivore","predator_mobile","CLUP","secondary_consumer"
"Conus californicus",4.88736407359947,"Adult","whelks and cone snails","Predator","predator_mobile","CONCAL","tertiary_consumer"
"Coralline Algae -Crustose",1,"Adult","coralline algae","Autotroph","autotroph_sessile","CRUCOR","producer"
"Coralline Algae -Erect/Articulated",1,"Adult","coralline algae","Autotroph","autotroph_sessile","ERECOR","producer"
"Corynactis californica",3.98849822742727,"Adult","anemone","Predator","predator_sessile","CORCAL","secondary_consumer"
"Costaria costata",1,"Adult","brown algae","Autotroph","autotroph_sessile","COSCOS","producer"
"Cottidae",4.487678033,"Adult","Fish","Predator","predator_mobile","COTT","tertiary_consumer"
"Crassadoma gigantea",2.6171875,"Adult","clams and mussels","Filter","predator_sessile","CRAGIG","primary_consumer"
"Cribrinopsis albopunctata",4.288489387,"Adult","anemone","Predator","predator_sessile","CRIALB","secondary_consumer"
"Cryptochiton stelleri",3.52640597,"Adult","grazing snails and slugs","Herbivore","micropredator_mobile","CRYSTE","secondary_consumer"
